Record Length,2500,Points,time1,volt1,,Record Length,2500,Points,time2,volt2
,,,1.46E-04,0,,,,,1.46E-04,2.96000004
,,,1.46E-04,0,,,,,1.46E-04,2.96000004
,,,1.47E-04,-4.00E-02,,,,,1.47E-04,3.03999996
,,,1.47E-04,4.00E-02,,,,,1.47E-04,2.96000004
,,,1.48E-04,-2.00E-02,,,,,1.48E-04,2.96000004
,,,1.48E-04,-2.00E-02,,,,,1.48E-04,2.96000004
,,,1.48E-04,-4.00E-02,,,,,1.48E-04,2.96000004
,,,1.49E-04,2.00E-02,,,,,1.49E-04,3.03999996
,,,1.49E-04,-4.00E-02,,,,,1.49E-04,2.96000004
,,,1.50E-04,0,,,,,1.50E-04,2.96000004
,,,1.50E-04,-2.00E-02,,,,,1.50E-04,2.87999988
,,,1.50E-04,0,,,,,1.50E-04,3.03999996
,,,1.51E-04,2.00E-02,,,,,1.51E-04,2.96000004
,,,1.51E-04,0,,,,,1.51E-04,3.03999996
,,,1.52E-04,0,,,,,1.52E-04,2.96000004
,,,1.52E-04,-2.00E-02,,,,,1.52E-04,2.96000004
,,,1.52E-04,0,,,,,1.52E-04,3.11999989
,,,1.53E-04,0,,,,,1.53E-04,2.87999988
,,,1.53E-04,0,,,,,1.53E-04,2.96000004
,,,1.54E-04,-2.00E-02,,,,,1.54E-04,2.96000004
,,,1.54E-04,-2.00E-02,,,,,1.54E-04,2.96000004
,,,1.54E-04,-2.00E-02,,,,,1.54E-04,2.96000004
,,,1.55E-04,0,,,,,1.55E-04,2.96000004
,,,1.55E-04,-2.00E-02,,,,,1.55E-04,2.96000004
,,,1.56E-04,0,,,,,1.56E-04,3.03999996
,,,1.56E-04,2.00E-02,,,,,1.56E-04,2.96000004
,,,1.56E-04,0,,,,,1.56E-04,2.96000004
,,,1.57E-04,-2.00E-02,,,,,1.57E-04,3.03999996
,,,1.57E-04,0,,,,,1.57E-04,2.96000004
,,,1.58E-04,-2.00E-02,,,,,1.58E-04,2.96000004
,,,1.58E-04,-2.00E-02,,,,,1.58E-04,2.96000004
,,,1.58E-04,-4.00E-02,,,,,1.58E-04,2.96000004
